source,site_name,site_id,geometry
ACIS,CHATANIKA ALASKA,65672,"c(-148.5833, 65.0167)"
ACIS,CHISANA ALASKA,65675,"c(-142.0833, 62.1333)"
ACIS,CHALKYITSIK ALASKA,65676,"c(-144.34109, 66.5906)"
ACIS,CHISTOCHINA ALASKA,65678,"c(-144.6647, 62.5653)"
ACIS,CHITNA ALASKA,65679,"c(-144.4397, 61.5319)"
ACIS,CHICKEN ALASKA,65680,"c(-141.9294, 64.06)"
ACIS,COTTONWOOD ALASKA,65682,"c(-155.9361, 65.3458)"
ACIS,EAGLE ALASKA,65687,"c(-141.1619, 64.7761)"
ACIS,FAIRBANKS ALASKA,65689,"c(-147.61501, 64.8367)"
ACIS,FAREWELL ALASKA,65691,"c(-154.07671, 63.7233)"
ACIS,FLAT ALASKA,65693,"c(-156.61391, 62.8228)"
ACIS,GEORGE CREEK ALASKA,65697,"c(-144.3503, 63.8375)"
ACIS,GOODPASTURE ALASKA,65700,"c(-145.26691, 64.2381)"
ACIS,GRAPHITE LAKE ALASKA,65701,"c(-143.28329, 67.0333)"
ACIS,GRANITE ALASKA,65703,"c(-149.287, 60.7275)"
ACIS,HAIDA ALASKA,65706,"c(-132.6983, 55.3503)"
ACIS,HAYCOCK ALASKA,65709,"c(-161.155, 65.2017)"
ACIS,HELMUT MOUNTAIN ALASKA,65711,"c(-144.1225, 67.7414)"
ACIS,HELM ALASKA,65713,"c(-131.3661, 55.5297)"
ACIS,HODZANA ALASKA,65714,"c(-148.6767, 66.7417)"
ACIS,HOGATZA RIVER ALASKA,65715,"c(-155.6667, 66.2167)"
ACIS,HOMER ALASKA,65716,"c(-151.2083, 59.7458)"
ACIS,HOONAH ALASKA,65717,"c(-135.1333, 57.8)"
ACIS,HOODOO HILL ALASKA,65718,"c(-163.4081, 65.5858)"
ACIS,INNOKO FLATS ALASKA,65725,"c(-158.8167, 63.39)"
ACIS,JATAHMUND LAKE ALASKA,65727,"c(-142.0833, 62.6)"
ACIS,KAIYUH ALASKA,65730,"c(-158.1058, 64.4256)"
ACIS,KAKE ALASKA,65731,"c(-133.66, 56.9739)"
ACIS,KANUTI NWR ALASKA,65732,"c(-152.17, 66.0933)"
ACIS,KAVET CREEK ALASKA,65733,"c(-159.04359, 67.1386)"
ACIS,KELLY ALASKA,65734,"c(-162.3, 67.9333)"
ACIS,KENAI NWR ALASKA,65735,"c(-150.3167, 60.5917)"
ACIS,KIANA ALASKA,65736,"c(-160.4375, 66.9767)"
ACIS,KILBUCK ALASKA,65737,"c(-160.2, 60.32)"
ACIS,KLAWASI ALASKA,65738,"c(-144.9281, 62.1472)"
ACIS,KENAI LAKE ALASKA,65739,"c(-149.39999, 60.3667)"
ACIS,KOYUKUK NWR ALASKA,65740,"c(-157.57001, 66.0083)"
ACIS,LITTLE BLACK ALASKA,65743,"c(-143.3672, 66.0914)"
ACIS,LIVENGOOD ALASKA,65746,"c(-148.72169, 65.4236)"
ACIS,LAKE MINCHUMINA ALASKA,65747,"c(-152.31059, 63.8933)"
ACIS,LOST CREEK ALASKA,65748,"c(-147.97141, 66.0425)"
ACIS,MAY CREEK ALASKA,65749,"c(-142.5844, 61.3208)"
ACIS,MCKINLEY RIVER ALASKA,65750,"c(-151.63969, 63.6492)"
ACIS,NINILCHIK ALASKA,65757,"c(-151.6655, 60.0433)"
ACIS,NOATAK ALASKA,65759,"c(-158.70419, 68.0708)"
ACIS,NORUTAK LAKE ALASKA,65761,"c(-154.3333, 66.8333)"
ACIS,PORT ALSWORTH ALASKA,65768,"c(-154.32001, 60.1958)"
ACIS,PAXSON ALASKA,65770,"c(-145.5014, 62.9453)"
ACIS,POORMAN ALASKA,65773,"c(-155.5583, 64.105)"
ACIS,PREACHER CREEK ALASKA,65774,"c(-145.03, 65.9233)"
ACIS,QUARTZ CREEK ALASKA,65776,"c(-164.64999, 65.4)"
ACIS,RABBIT CREEK ALASKA,65778,"c(-149.7283, 61.0844)"
ACIS,REINDEER RIVER ALASKA,65780,"c(-162.66499, 61.7161)"
ACIS,RENEE ALASKA,65781,"c(-146.6181, 62.71)"
ACIS,ROUND LAKE ALASKA,65785,"c(-153.94, 64.6847)"
ACIS,RUTH GLACIER ALASKA,65787,"c(-150.5397, 62.7097)"
ACIS,SALMON TROUT ALASKA,65789,"c(-141.62, 66.8125)"
ACIS,SELAWIK ALASKA,65792,"c(-159.1125, 66.6033)"
ACIS,SEVEN MILE ALASKA,65794,"c(-149.855, 65.9383)"
ACIS,SKILAK GUARD STATION ALASKA,65799,"c(-150.4606, 60.4839)"
ACIS,SALCHA ALASKA,65800,"c(-146.14, 64.59)"
ACIS,STONEY ALASKA,65807,"c(-153.8958, 61.0008)"
ACIS,STONEY RIVER ALASKA,65808,"c(-156.4333, 61.6467)"
ACIS,SWANSON RIVER ALASKA,65810,"c(-150.87219, 60.7278)"
ACIS,TELIDA ALASKA,65812,"c(-153.3567, 63.44)"
ACIS,THORNE BAY ALASKA,65813,"c(-132.98331, 55.75)"
